URL,Informative_Text
https://mollanbros.co.uk/wooden-dressing-tables,"Mabel 6 Drawer Dressing Table (Taupe), Mabel 6 Drawer Dressing Table (White), Salisbury Dressing Table, Troscan 3 Drawer Dressing Table, Troscan 6 Drawer Dressing Table, Diletta 2 Drawer Dressing Table, Diletta 2 Drawer Dressing Table - Stone, Amelia Dressing Table Set (Cream), Amelia Dressing Table Set (Grey), Deauville Dressing Table (Dark Grey)"
https://mollanbros.co.uk/leather4,"Augustine 2 Corner 1 Suite, Augustine 2 Corner 2 Suite, Sophia 2-Corner-1, Sophia Armless Unit, Sophia Console, Winchester 2 Corner 2 Manual Recliner, Winchester 2 Corner 2 Power Recliner with Head Tilt, Winchester 2 Corner 1 Power Recliner with Head Tilt, Winchester 2 Corner 1 Manual Recliner, Winchester 2 Corner 1 Power Recliner"
https://mollanbros.co.uk/fabric5,"Paris Chair by Lebus, Trent Chair, Trent Love Chair, Artemis Chair, Ella Chair, Memphis Chair, Savannah Chair, Lowry Chair, Casey Chair, Chicago Chair"
https://mollanbros.co.uk/desks,"Salisbury Double Desk, Salisbury Single Desk, Jenson Desk, Scandic Small Computer Desk, San Francisco Smart Speaker / Charging Desk (Oak), San Francisco Executive Desk ( Grey), San Francisco Height Adjustable Desk (Oak/ Black), Oslo Curved Desk (Oak), San Francisco Smart Speaker/ Charging Desk (Oak), Z Range Small Desk"
https://mollanbros.co.uk/marble-tables,"Arianna Dining Table, Arturo Dining Table, Arturo Round Dining Table, Carra Dining Table Round - Bone White 1300, Florence 1.2m Rectangular Dining Table, Florence 1.2m Round Dining Table"
https://mollanbros.co.uk/dressing-tables,
https://mollanbros.co.uk/fabric8,"Penrith 3 Seater, Penrith 2 Seater, Penrith Armchair, Leroy 3 Seater Sofa, Leroy 2 Seater Sofa, Leroy Chair, Baxter by Lazboy 2 Seater (Power Reclining), Baxter by Lazboy 2 Seater (Manual Reclining), Herbert Chair, Herbert 3 Seater"
https://mollanbros.co.uk/electric-recliners,
https://mollanbros.co.uk/fabric7,"Leroy 2 Corner 2, Paris 2 corner 1 Suite by Lebus, Paris 2 corner 2 Suite by Lebus, Casey 2-Co-1 + Console, Chicago 2-CORNER-1 + STOOL, Chicago 2-CORNER-2, Chicago 2-CORNER-1, Chicago 1-CORNER-1, Chicago Armless Unit, Vesper 2-CORNER-2"
https://mollanbros.co.uk/lamp-tables,"Arianna Lamp Table, Arturo Lamp Table, Salisbury Lamp Table, Salisbury Lamp Table with Drawer, Stow Natural Oak Lamp Table With Shelf, Stow Painted Lamp Table With Shelf (Blue), Stow Painted Lamp Table With Shelf (Grey), Stow Painted Lamp Table With Shelf (White), Manhattan End Table, San Francisco Lamp Table with Speaker/ Wireless Charging Functions"
https://mollanbros.co.uk/tempered-glass-tables,"Savannah Table (White with Grey Insert), Lazzaro Extending Dining Table"
https://mollanbros.co.uk/barstools,"Charlie Barstool, Elis Barstool, Global Home Salisbury Barstool, Malmo Stool, Sutton Barstool, Vida Living Irma Barstool, Valent Barstool - Grey Leather, Valent Barstool - Blue, Valent Barstool - Dark Grey, Valent Barstool - Light Grey"
https://mollanbros.co.uk/dressing-tables-stools,
https://mollanbros.co.uk/dining-tables,
https://mollanbros.co.uk/wooden-wardrobes,"Mabel 2 Door 1 Drawer Wardrobe (Taupe), Mabel 2 Door 1 Drawer Wardrobe (White), Mabel 3 Door 2 Drawer Wardrobe (White), Mabel 3 Door 3 Drawer Wardrobe (Taupe), Salisbury 3 Drawer Wardrobe, Salisbury Gents Wardrobe, Salisbury Single Wardrobe, Salisbury Triple Wardrobe, Troscan 2 Door 1 Shelf Robe, Troscan 2 Door 2 Drawer Robe"
https://mollanbros.co.uk/headboards,
https://mollanbros.co.uk/mirrored-stool,Jessica Bedroom Stool
https://mollanbros.co.uk/bookcasesb,"Troscan 4 Shelf Bookcase, Paris Oak Low Bookcase, Paris Painted Low Bookcase"
